model,ip_mode,after_task,after_task_category,scope,metric,value
xgboost_static,none,0,BruteForce,task0,n,175000.0
xgboost_static,none,0,BruteForce,task0,n_benign,172109.0
xgboost_static,none,0,BruteForce,task0,n_attack,2891.0
xgboost_static,none,0,BruteForce,task0,accuracy,1.0
xgboost_static,none,0,BruteForce,task0,macro_f1,1.0
xgboost_static,none,0,BruteForce,task0,fpr,0.0
xgboost_static,none,0,BruteForce,task0,detection_rate,1.0
xgboost_static,none,0,BruteForce,task0,binary_f1,1.0
xgboost_static,none,0,BruteForce,task0,category_recall,1.0
xgboost_static,none,0,BruteForce,task1,n,385000.0
xgboost_static,none,0,BruteForce,task1,n_benign,331373.0
xgboost_static,none,0,BruteForce,task1,n_attack,53627.0
xgboost_static,none,0,BruteForce,task1,accuracy,0.8607090909090909
xgboost_static,none,0,BruteForce,task1,macro_f1,0.4625704765534156
xgboost_static,none,0,BruteForce,task1,fpr,0.0
xgboost_static,none,0,BruteForce,task1,detection_rate,0.0
xgboost_static,none,0,BruteForce,task1,binary_f1,0.0
xgboost_static,none,0,BruteForce,task1,category_recall,0.0
xgboost_static,none,0,BruteForce,task2,n,480000.0
xgboost_static,none,0,BruteForce,task2,n_benign,439090.0
xgboost_static,none,0,BruteForce,task2,n_attack,40910.0
xgboost_static,none,0,BruteForce,task2,accuracy,0.9147708333333332
xgboost_static,none,0,BruteForce,task2,macro_f1,0.4777442905482597
xgboost_static,none,0,BruteForce,task2,fpr,0.0
xgboost_static,none,0,BruteForce,task2,detection_rate,0.0
xgboost_static,none,0,BruteForce,task2,binary_f1,0.0
xgboost_static,none,0,BruteForce,task2,category_recall,0.0
xgboost_static,none,0,BruteForce,task3,n,270000.0
xgboost_static,none,0,BruteForce,task3,n_benign,269993.0
xgboost_static,none,0,BruteForce,task3,n_attack,7.0
xgboost_static,none,0,BruteForce,task3,accuracy,0.999974074074074
xgboost_static,none,0,BruteForce,task3,macro_f1,0.4999935184344982
xgboost_static,none,0,BruteForce,task3,fpr,0.0
xgboost_static,none,0,BruteForce,task3,detection_rate,0.0
xgboost_static,none,0,BruteForce,task3,binary_f1,0.0
xgboost_static,none,0,BruteForce,task3,category_recall,0.0
xgboost_static,none,0,BruteForce,task4,n,395000.0
xgboost_static,none,0,BruteForce,task4,n_benign,393444.0
xgboost_static,none,0,BruteForce,task4,n_attack,1556.0
xgboost_static,none,0,BruteForce,task4,accuracy,0.9960632911392404
xgboost_static,none,0,BruteForce,task4,macro_f1,0.4996561400110287
