model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma,seed
xgboost_static,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18.75108051300049,1,,,,42
xgboost_static,none,1,DoS,0.9042375,0.6498122273336281,0.0,0.0511518454297745,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,,42
xgboost_static,none,2,DDoS,0.9090990384615384,0.3904492693519814,0.0,0.0296731945641909,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,,42
xgboost_static,none,3,WebAttack,0.9278290076335878,0.392495537121072,0.0,0.0296710627597885,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,,42
xgboost_static,none,4,Infiltration,0.9436363636363636,0.3284629371898539,0.0,0.0292147771009485,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,,42
xgboost_static,none,5,Botnet,0.947051715039578,0.2817986541035015,0.0,0.0280156546673383,1.0,1.0,1.0,1.0,0.0,,0.0,0,,,,42
gnn_naive,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,49.01815319061279,1250,,,,42
gnn_naive,none,1,DoS,0.9946517857142856,0.6585829590096881,1.9861683237931047e-05,0.9914540500371564,0.0,0.0,0.9834742857142856,0.4994341363760352,0.9982471516213848,0.0,108.94031429290771,2690,,,,42
gnn_naive,none,2,DDoS,0.9455826923076924,0.4924971283954352,7.95695182967455e-05,0.96201297368313,0.0,0.0,0.98348,0.495835602073124,1.0,0.5714285714285714,126.43583536148073,3380,,,,42
gnn_naive,none,3,WebAttack,0.9442541984732824,0.3453857186991997,1.979275337816942e-05,0.2809462718735567,0.0,0.0,0.9834628571428572,0.4958312446342039,1.0,0.0,65.29411840438843,1890,,,,42
gnn_naive,none,4,Infiltration,0.9374375366568914,0.2030921113022369,0.0057446751543733,0.0157489064662444,0.0,0.0,0.9477714285714286,0.4865927360206536,0.9948586118251928,0.0,91.48363971710204,2760,,,,42
gnn_naive,none,5,Botnet,0.9430026385224276,0.2803158452711912,0.0050363550719622,0.0418587980005424,0.0,0.0,0.9478285714285716,0.4866077976941356,1.0,,44.6391658782959,1330,,,,42
gnn_ewc_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.36388301849365,1250,0.0099999997764825,10.0,0.9,42
gnn_ewc_replay,none,1,DoS,0.9998178571428572,0.9996489791386964,1.588934659034484e-05,0.9983368130507096,1.0,1.0,1.0,1.0,0.9982471516213848,0.0,199.5625853538513,2690,0.0188432373106479,10.0,0.9,42
gnn_ewc_replay,none,2,DDoS,0.9999461538461538,0.9998551479363496,1.59139036593491e-05,0.999579176417457,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,341.578866481781,3380,0.0189448930323123,10.0,0.9,42
gnn_ewc_replay,none,3,WebAttack,0.9988908396946564,0.876382710887345,3.711141258406766e-05,0.9855493405860316,1.0,1.0,1.0,1.0,1.0,0.0,190.910697221756,1890,0.019377015531063,10.0,0.9,42
gnn_ewc_replay,none,4,Infiltration,0.9944844574780058,0.8028677408416584,0.0057907521066195,0.9989493994403532,1.0,1.0,0.9642857142857144,0.9907535624674526,0.9922879177377892,0.0,274.70492219924927,2760,0.0245492830872535,10.0,0.9,42
gnn_ewc_replay,none,5,Botnet,0.9950622691292876,0.8546467054534163,0.0051451858830252,0.99872127717286,1.0,1.0,0.9643028571428572,0.9907580827940858,0.9995279679018172,,131.25449061393738,1330,0.0311189163476228,10.0,0.9,42
ffnn_ewc_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,63.93665909767151,6070,0.0099999997764825,10.0,0.9,42
ffnn_ewc_replay,none,1,DoS,0.9999625,0.9999277725507169,3.97233664758621e-06,0.9996638239145051,1.0,1.0,0.9999942857142856,0.9999985474279308,0.9996457008596416,0.0,21918.796327352524,13140,0.013606859371066,10.0,0.9,42
ffnn_ewc_replay,none,2,DDoS,0.9999538461538462,0.999904204039452,2.1218538212465468e-06,0.9995278564683664,1.0,1.0,0.9999942857142856,0.9999985474279308,1.0,0.7142857142857143,1986.679427146912,16480,0.0169039983302354,10.0,0.9,42
ffnn_ewc_replay,none,3,WebAttack,0.9999412213740458,0.946530414669051,9.071678631660985e-06,0.9993226253399702,1.0,1.0,0.9999942857142856,0.9999985474279308,1.0,0.0,126.73630952835084,9240,0.0174171160906553,10.0,0.9,42
